Domain Code,Domain,Area Code,Area,Year Code,Year,Total Losses (1000 t),Fat supply quantity (g/capita/day)_Animal Products,Fat supply quantity (g/capita/day)_Grand Total,Fat supply quantity (g/capita/day)_Vegetal Products,Food supply (kcal/capita/day)_Animal Products,Food supply (kcal/capita/day)_Grand Total,Food supply (kcal/capita/day)_Vegetal Products,Protein supply quantity (g/capita/day)_Animal Products,Protein supply quantity (g/capita/day)_Grand Total,Protein supply quantity (g/capita/day)_Vegetal Products,Population (1000no),Total Losses (g/cap/day),Average dietary energy requirement (kcal/cap/day),Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),Minimum dietary energy requirement  (kcal/cap/day),Number of obese adults (18 years and older) (million),Prevalence of obesity in the adult population (18 years and older) (percent),Average dietary energy supply adequacy (percent) (3-year average),Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),Prevalence of undernourishment (percent) (3-year average)
FBS,Food Balances (2010-),159,Nigeria,20102012.0,2012,13425.0,6.0,55.0,49.0,97.0,2559.0,2462.0,9.0,63.0,54.0,165498.0,222.0,2165.0,2559.0,1684.0,7.0,8.0,118.0,2559.0,10.4
FBS,Food Balances (2010-),159,Nigeria,20112013.0,2013,13805.0,6.0,55.0,49.0,96.0,2542.0,2446.0,9.0,63.0,53.0,170089.0,222.0,2166.0,2542.0,1685.0,7.0,9.0,117.0,2542.0,10.9
FBS,Food Balances (2010-),159,Nigeria,20122014.0,2014,14804.0,6.0,56.0,50.0,96.0,2548.0,2452.0,9.0,63.0,53.0,174727.0,232.0,2167.0,2548.0,1686.0,8.0,9.0,118.0,2548.0,10.8
FBS,Food Balances (2010-),159,Nigeria,20132015.0,2015,14769.0,6.0,57.0,51.0,96.0,2555.0,2459.0,9.0,62.0,53.0,179367.0,226.0,2169.0,2555.0,1687.0,8.0,9.0,118.0,2555.0,10.7
FBS,Food Balances (2010-),159,Nigeria,20142016.0,2016,15413.0,6.0,58.0,52.0,93.0,2567.0,2475.0,9.0,62.0,54.0,184014.0,230.0,2171.0,2567.0,1688.0,9.0,10.0,118.0,2567.0,10.5
FBS,Food Balances (2010-),159,Nigeria,20152017.0,2017,15638.0,6.0,58.0,52.0,87.0,2561.0,2473.0,8.0,62.0,54.0,188720.0,227.0,2174.0,2561.0,1690.0,9.0,10.0,118.0,2561.0,10.7
FBS,Food Balances (2010-),159,Nigeria,20162018.0,2018,15743.0,5.0,58.0,53.0,84.0,2549.0,2464.0,8.0,63.0,55.0,193517.0,223.0,2182.0,2549.0,1697.0,10.0,10.0,117.0,2548.0,11.3
FBS,Food Balances (2010-),159,Nigeria,20172019.0,2019,15483.0,5.0,58.0,53.0,82.0,2543.0,2460.0,8.0,62.0,55.0,198396.0,214.0,2191.0,2543.0,1703.0,10.0,11.0,116.0,2543.0,11.8
FBS,Food Balances (2010-),159,Nigeria,20182020.0,2020,16266.0,5.0,58.0,53.0,81.0,2527.0,2446.0,7.0,61.0,54.0,203340.0,219.0,2199.0,2527.0,1709.0,11.0,11.0,115.0,2527.0,13.6
FBS,Food Balances (2010-),159,Nigeria,20192021.0,2021,17836.0,5.0,58.0,53.0,81.0,2531.0,2450.0,7.0,61.0,53.0,208344.0,234.0,2203.0,2531.0,1711.0,12.0,11.0,115.0,2531.0,15.1
FBS,Food Balances (2010-),159,Nigeria,20202022.0,2022,19742.0,5.0,58.0,52.0,80.0,2519.0,2438.0,7.0,60.0,52.0,213423.0,253.0,2206.0,2519.0,1714.0,13.0,12.0,114.0,2519.0,17.0
